MAL_ID,Name,Score,Genres,English name,Type,Episodes,Studios,Rating,Ranked,Popularity
30,neon genesis evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",Neon Genesis Evangelion,TV,26,"Gainax, Tatsunoko Production",PG-13 - Teens 13 or older,208.0,54
31,neon genesis evangelion: death & rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Neon Genesis Evangelion:Death & Rebirth,Movie,1,"Gainax, Production I.G",R - 17+ (violence & profanity),1742.0,833
32,neon genesis evangelion: the end of evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Neon Genesis Evangelion:The End of Evangelion,Movie,1,"Gainax, Production I.G",R+ - Mild Nudity,102.0,195
33,kenpuu denki berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",Berserk,TV,25,OLM,R+ - Mild Nudity,108.0,301
43,koukaku kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Ghost in the Shell,Movie,1,Production I.G,R+ - Mild Nudity,236.0,265
44,rurouni kenshin: meiji kenkaku romantan - tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",Samurai X:Trust and Betrayal,OVA,4,Studio Deen,R - 17+ (violence & profanity),37.0,637
45,rurouni kenshin: meiji kenkaku romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",Rurouni Kenshin,TV,94,"Gallop, Studio Deen",PG-13 - Teens 13 or older,220.0,345
46,rurouni kenshin: meiji kenkaku romantan - ishinshishi e no chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Samurai X:The Motion Picture,Movie,1,Gallop,R - 17+ (violence & profanity),1397.0,2411
47,akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",AKIRA,Movie,1,Tokyo Movie Shinsha,R+ - Mild Nudity,333.0,197
48,.hack//sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",.hack//Sign,TV,26,Bee Train,PG-13 - Teens 13 or older,3687.0,940
49,aa! megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",Oh! My Goddess,OVA,5,AIC,PG-13 - Teens 13 or older,2226.0,2360
50,aa! megami-sama! (tv),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",Ah! My Goddess,TV,24,AIC,PG-13 - Teens 13 or older,2116.0,1083
51,tenshi kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",Angel Sanctuary,OVA,3,Hal Film Maker,R+ - Mild Nudity,6823.0,2419
52,kidou tenshi angelic layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",Battle Doll Angelic Layer,TV,26,Bones,PG-13 - Teens 13 or older,2529.0,2232
53,ai yori aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",Ai Yori Aoshi,TV,24,J.C.Staff,PG-13 - Teens 13 or older,3012.0,1465
54,appleseed (movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Unknown,Movie,1,Digital Frontier,R - 17+ (violence & profanity),3206.0,1901
55,arc the lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",Unknown,TV,26,Bee Train,R - 17+ (violence & profanity),5738.0,4259
56,avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",Unknown,TV,13,"Bee Train, Xebec",R - 17+ (violence & profanity),8501.0,4073
57,beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",Beck:Mongolian Chop Squad,TV,26,Madhouse,R - 17+ (violence & profanity),221.0,570
58,blue gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",Blue Gender,TV,26,AIC,R+ - Mild Nudity,3455.0,1886
59,chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",Chobits,TV,26,Madhouse,PG-13 - Teens 13 or older,1804.0,332
60,chrno crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",Chrono Crusade,TV,24,Gonzo,R - 17+ (violence & profanity),1120.0,742
61,d.n.angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",D.N.Angel,TV,26,Xebec,PG-13 - Teens 13 or older,2761.0,891
62,d.c.: da capo,6.77,"Harem, Drama, Magic, Romance",D.C.~Da Capo~,TV,26,"feel., Zexcs",PG-13 - Teens 13 or older,4589.0,1852
63,dears,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",DearS,TV,12,Daume,R+ - Mild Nudity,5274.0,1146
64,rozen maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",Rozen Maiden,TV,12,Nomad,PG-13 - Teens 13 or older,1782.0,846
65,rozen maiden: träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",Rozen Maiden:Träumend,TV,12,Nomad,PG-13 - Teens 13 or older,1146.0,1479
66,azumanga daioh,7.98,"Slice of Life, Comedy, School",Azumanga Daioh:The Animation,TV,26,J.C.Staff,PG-13 - Teens 13 or older,555.0,554
67,basilisk: kouga ninpou chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",Basilisk,TV,24,Gonzo,R - 17+ (violence & profanity),1325.0,940
68,black cat (tv),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",Black Cat,TV,23,Gonzo,PG-13 - Teens 13 or older,1965.0,622
69,cluster edge,6.35,"Action, Fantasy, Military, Sci-Fi",Unknown,TV,25,Sunrise,PG-13 - Teens 13 or older,6646.0,5061
71,full metal panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",Full Metal Panic!,TV,24,Gonzo,R - 17+ (violence & profanity),1146.0,322
72,full metal panic? fumoffu,8.07,"Action, Comedy, School",Full Metal Panic? Fumoffu,TV,12,Kyoto Animation,PG-13 - Teens 13 or older,452.0,571
73,full metal panic! the second raid,7.96,"Action, Military, Mecha",Full Metal Panic! The Second Raid,TV,13,Kyoto Animation,R - 17+ (violence & profanity),579.0,639
74,gakuen alice,7.65,"Comedy, School, Shoujo, Super Power",Gakuen Alice,TV,26,Group TAC,G - All Ages,1158.0,1640
75,soukyuu no fafner: dead aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",Fafner of the Blue Sky,TV,25,Xebec,PG-13 - Teens 13 or older,2348.0,2523
76,mahou shoujo lyrical nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",Magical Girl Lyrical Nanoha,TV,13,Seven Arcs,PG-13 - Teens 13 or older,1828.0,1550
77,mahou shoujo lyrical nanoha a's,7.99,"Action, Comedy, Drama, Magic, Super Power",Magical Girl Lyrical Nanoha A's,TV,13,Seven Arcs,PG-13 - Teens 13 or older,551.0,2075
79,shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",Shuffle!,TV,24,Asread,R+ - Mild Nudity,3231.0,600
80,mobile suit gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",Mobile Suit Gundam,TV,43,Sunrise,PG-13 - Teens 13 or older,867.0,1427
81,mobile suit gundam: the 08th ms team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",Mobile Suit Gundam:The 08th MS Team,OVA,12,Sunrise,PG-13 - Teens 13 or older,511.0,1948
82,mobile suit gundam 0080: war in the pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam 0080:War in the Pocket,OVA,6,Sunrise,PG-13 - Teens 13 or older,677.0,2444
83,mobile suit gundam: the 08th ms team - miller's report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",Unknown,Movie,1,Sunrise,PG-13 - Teens 13 or older,4498.0,4660
84,mobile suit gundam 0083: stardust memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",Mobile Suit Gundam 0083:Stardust Memory,OVA,13,Sunrise,PG-13 - Teens 13 or older,2361.0,2791
85,mobile suit zeta gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",Mobile Suit Zeta Gundam,TV,50,Sunrise,PG-13 - Teens 13 or older,655.0,2159
86,mobile suit gundam zz,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",Mobile Suit Gundam ZZ,TV,47,Sunrise,PG-13 - Teens 13 or older,5111.0,2941
87,mobile suit gundam: char's counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam:Char's Counterattack,Movie,1,"Sunrise, Studio Hibari",PG-13 - Teens 13 or older,1084.0,2773
88,mobile suit gundam f91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit Gundam F91,Movie,1,Sunrise,PG-13 - Teens 13 or older,5049.0,3387
89,mobile suit victory gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit V Gundam,TV,51,"Sunrise, Studio Deen",PG-13 - Teens 13 or older,4632.0,3588
90,mobile suit gundam wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam Wing,TV,49,Sunrise,PG-13 - Teens 13 or older,984.0,1118
91,mobile suit gundam wing: endless waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit Gundam Wing:Endless Waltz,OVA,3,Sunrise,PG-13 - Teens 13 or older,897.0,2512
92,after war gundam x,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",After War Gundam X,TV,39,Sunrise,PG-13 - Teens 13 or older,2228.0,3043
93,mobile suit gundam seed,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",Mobile Suit Gundam SEED,TV,50,Sunrise,R - 17+ (violence & profanity),850.0,1057
94,mobile suit gundam seed destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",Unknown,TV,50,Sunrise,R - 17+ (violence & profanity),2687.0,1530
95,turn a gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",∀ Gundam,TV,50,"Sunrise, Nakamura Production",PG-13 - Teens 13 or older,1018.0,2714
96,mobile fighter g gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",Mobile Fighter G Gundam,TV,49,Sunrise,PG-13 - Teens 13 or older,1396.0,2109
97,last exile,7.82,"Action, Sci-Fi, Adventure",Last Exile,TV,26,Gonzo,PG-13 - Teens 13 or older,795.0,995
98,mai-hime,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",My-Hime,TV,26,Sunrise,PG-13 - Teens 13 or older,1698.0,1381
99,mai-otome,7.31,"Comedy, Drama, Fantasy, Magic",My-Otome,TV,26,Sunrise,PG-13 - Teens 13 or older,2308.0,2370
100,shin shirayuki-hime densetsu prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",Prétear:The New Legend of Snow White,TV,13,Hal Film Maker,PG-13 - Teens 13 or older,2785.0,2162
101,air,7.32,"Slice of Life, Supernatural, Drama, Romance",Air,TV,12,Kyoto Animation,PG-13 - Teens 13 or older,2230.0,563
102,aishiteruze baby★★,7.48,"Comedy, Drama, Romance, Shoujo",Unknown,TV,26,TMS Entertainment,PG-13 - Teens 13 or older,1634.0,1529
103,akazukin chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",Red Riding Hood Chacha,TV,74,Gallop,G - All Ages,1941.0,4551
104,ayashi no ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo","Ceres, Celestial Legend",TV,24,Studio Pierrot,R - 17+ (violence & profanity),2641.0,2182
105,boys be...,6.46,"Slice of Life, Comedy, Romance, Shounen",Boys Be...,TV,13,Hal Film Maker,PG-13 - Teens 13 or older,6088.0,3665
106,hana yori dango,7.7,"Drama, Romance, School, Shoujo",Hana Yori Dango,TV,51,Toei Animation,PG-13 - Teens 13 or older,1027.0,2293
107,ou dorobou jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Jing:King of Bandits,TV,13,Studio Deen,PG-13 - Teens 13 or older,2625.0,2817
108,ou dorobou jing in seventh heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",Jing:King of Bandits - Seventh Heaven,OVA,3,Studio Deen,PG-13 - Teens 13 or older,2367.0,4619
109,bakuretsu tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",Burst Angel,TV,24,Gonzo,PG-13 - Teens 13 or older,4381.0,1965
110,chuuka ichiban!,7.63,"Action, Comedy, Drama, Shounen",Unknown,TV,52,Nippon Animation,PG-13 - Teens 13 or older,1195.0,4086
111,corrector yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",Corrector Yui,TV,52,Nippon Animation,PG - Children,4318.0,4519
112,chou henshin cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",The Cosmopolitan Prayers,TV,8,"Imagin, Studio Live",PG-13 - Teens 13 or older,10648.0,5542
113,uchuu no stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",Stellvia,TV,26,Xebec,PG-13 - Teens 13 or older,1980.0,3577
114,sakigake!! cromartie koukou,7.93,"Comedy, School, Shounen",Cromartie High School,TV,26,Production I.G,PG-13 - Teens 13 or older,631.0,1279
115,el hazard: the alternative world,6.83,"Adventure, Comedy, Fantasy",Unknown,TV,13,AIC,PG-13 - Teens 13 or older,4315.0,4961
116,el hazard: the wanderers,6.97,"Adventure, Comedy, Romance, Fantasy",El-Hazard:The Wanderers,TV,26,AIC,PG-13 - Teens 13 or older,3735.0,4198
117,el hazard: the magnificent world,7.32,"Adventure, Comedy, Romance, Fantasy",Unknown,OVA,7,AIC,PG-13 - Teens 13 or older,2240.0,4129
118,el hazard 2: the magnificent world,6.85,"Adventure, Comedy, Fantasy",Unknown,OVA,4,AIC,PG-13 - Teens 13 or older,4239.0,5421
119,final approach,6.56,"Comedy, Drama, Romance, Slice of Life",Unknown,TV,13,Zexcs,PG-13 - Teens 13 or older,5567.0,2887
120,fruits basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",Fruits Basket,TV,26,Studio Deen,PG-13 - Teens 13 or older,1058.0,314
121,fullmetal alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",Fullmetal Alchemist,TV,51,Bones,PG-13 - Teens 13 or older,337.0,52
122,full moon wo sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",Searching for the Full Moon,TV,52,Studio Deen,PG-13 - Teens 13 or older,585.0,1519
123,fushigi yuugi,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",Mysterious Play,TV,52,Studio Pierrot,PG-13 - Teens 13 or older,1172.0,1434
124,fushigi yuugi: eikouden,6.86,"Adventure, Fantasy, Romance, Drama, Shoujo",Mysterious Play:Eikoden,OVA,4,Studio Pierrot,PG-13 - Teens 13 or older,4189.0,4101
125,futakoi,6.49,"Comedy, Romance, School",Twin Love,TV,13,Telecom Animation Film,PG-13 - Teens 13 or older,5946.0,2900
126,futakoi alternative,6.91,"Comedy, Drama, Romance",Unknown,TV,13,"ufotable, feel., Studio Flag",PG-13 - Teens 13 or older,3968.0,3071
127,gate keepers,6.96,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",Unknown,TV,24,Gonzo,PG-13 - Teens 13 or older,3767.0,3717
128,gate keepers 21,6.79,"Action, Drama, Mecha, Sci-Fi, Shounen",Unknown,OVA,6,Gonzo,PG-13 - Teens 13 or older,4489.0,5026
129,gensoumaden saiyuuki,7.59,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",Saiyuki,TV,50,Studio Pierrot,R - 17+ (violence & profanity),1315.0,2359
130,saiyuuki reload,7.41,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",Saiyuki Reload,TV,25,Studio Pierrot,PG-13 - Teens 13 or older,1858.0,3071
131,saiyuuki reload gunlock,7.42,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",Saiyuki Gunlock,TV,26,Studio Pierrot,PG-13 - Teens 13 or older,1840.0,3724
132,getbackers,7.61,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",Getbackers,TV,49,Studio Deen,PG-13 - Teens 13 or older,1249.0,1339
133,green green,6.21,"Comedy, Ecchi, Romance, School, Slice of Life",Green Green,TV,12,Studio Matrix,R+ - Mild Nudity,7303.0,1333
134,gunslinger girl,7.42,"Action, Psychological, Military, Drama, Sci-Fi",Gunslinger Girl,TV,13,Madhouse,R - 17+ (violence & profanity),1821.0,920
135,hikaru no go,8.11,"Comedy, Game, Shounen, Supernatural",Hikaru no Go,TV,75,Studio Pierrot,PG-13 - Teens 13 or older,400.0,1287
136,hunter x hunter,8.42,"Action, Adventure, Super Power, Fantasy, Shounen",Hunter x Hunter,TV,62,Nippon Animation,PG-13 - Teens 13 or older,143.0,319
137,hunter x hunter: original video animation,8.33,"Action, Adventure, Super Power, Shounen",Unknown,OVA,8,Nippon Animation,PG-13 - Teens 13 or older,205.0,1375
138,hunter x hunter: greed island,8.21,"Action, Adventure, Super Power, Fantasy, Shounen",Unknown,OVA,8,Nippon Animation,PG-13 - Teens 13 or older,299.0,1244
139,hunter x hunter: greed island final,8.29,"Action, Adventure, Super Power, Fantasy, Shounen",Unknown,OVA,14,Nippon Animation,PG-13 - Teens 13 or older,230.0,1288
141,jinki:extend,6.14,"Mecha, Sci-Fi",Jinki:Extend,TV,12,feel.,R - 17+ (violence & profanity),7618.0,4923
142,kamikaze kaitou jeanne,7.45,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",Unknown,TV,44,Toei Animation,PG-13 - Teens 13 or older,1746.0,2363
143,kannazuki no miko,6.87,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",Destiny of the Shrine Maiden,TV,12,TNK,PG-13 - Teens 13 or older,4169.0,2000
144,kanon,7.11,"Drama, Romance, Slice of Life, Supernatural",Unknown,TV,13,Toei Animation,G - All Ages,3174.0,2105
145,kareshi kanojo no jijou,7.61,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",His and Her Circumstances,TV,26,"Gainax, J.C.Staff",PG-13 - Teens 13 or older,1254.0,875
146,kono minikuku mo utsukushii sekai,6.76,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",This Ugly Yet Beautiful World,TV,12,"Gainax, Shaft",R+ - Mild Nudity,4625.0,2145
147,kimi ga nozomu eien,7.24,"Drama, Romance, Slice of Life",Rumbling Hearts,TV,14,Studio Fantasia,R+ - Mild Nudity,2604.0,1187
148,kita e.: diamond dust drops,6.62,"Drama, Romance, Slice of Life",Diamond Daydreams,TV,12,Studio Deen,PG-13 - Teens 13 or older,5305.0,5411
149,loveless,6.86,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",Loveless,TV,12,J.C.Staff,PG-13 - Teens 13 or older,4203.0,1215
150,blood+,7.66,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",Blood+,TV,50,Production I.G,R - 17+ (violence & profanity),1116.0,431
151,re: cutey honey,7.12,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai",Unknown,OVA,3,"Gainax, Toei Animation",R+ - Mild Nudity,3130.0,3430
152,solty rei,7.28,"Action, Sci-Fi, Super Power",Unknown,TV,24,Gonzo,R - 17+ (violence & profanity),2447.0,3233
153,juuni kokuki,8.06,"Action, Adventure, Fantasy, Magic, Supernatural",The Twelve Kingdoms,TV,45,Studio Pierrot,PG-13 - Teens 13 or older,464.0,1266
154,shaman king,7.78,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",Shaman King,TV,64,Xebec,PG-13 - Teens 13 or older,853.0,477
155,x/1999,6.59,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural",X - The Movie,Movie,1,Madhouse,R - 17+ (violence & profanity),5420.0,2904
156,x,7.43,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo",X,TV,24,Madhouse,R+ - Mild Nudity,1804.0,1818
157,mahou sensei negima!,6.98,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",Negima!,TV,26,Xebec,PG-13 - Teens 13 or older,3708.0,1208
158,maria-sama ga miteru,7.34,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",Maria Watches Over Us,TV,13,Studio Deen,PG-13 - Teens 13 or older,2178.0,2170
159,boukyaku no senritsu,6.34,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",The Melody of Oblivion,TV,24,"Gainax, J.C.Staff",PG-13 - Teens 13 or older,6657.0,3975
160,"ima, soko ni iru boku",7.66,"Adventure, Drama, Fantasy, Military, Sci-Fi","Now and Then, Here and There",TV,13,AIC,R - 17+ (violence & profanity),1140.0,1309
161,peace maker kurogane,7.33,"Action, Comedy, Historical, Samurai, Shounen",Peace Maker Kurogane,TV,24,Gonzo,R - 17+ (violence & profanity),2186.0,2251
162,pita ten,6.94,"Comedy, Fantasy, Kids, Romance, School, Shounen",Pita-Ten,TV,26,Madhouse,G - All Ages,3863.0,3626
163,power stone,6.48,"Adventure, Comedy, Fantasy, Historical, Shounen",Unknown,TV,26,Studio Pierrot,PG - Children,6015.0,5874
164,mononoke hime,8.72,"Action, Adventure, Fantasy",Princess Mononoke,Movie,1,Studio Ghibli,PG-13 - Teens 13 or older,40.0,91
165,rahxephon,7.42,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",RahXephon,TV,26,Bones,PG-13 - Teens 13 or older,1820.0,1395
166,samurai 7,7.48,"Historical, Mecha, Samurai, Sci-Fi",Samurai 7,TV,26,Gonzo,PG-13 - Teens 13 or older,1646.0,1295
167,scrapped princess,7.41,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen",Scrapped Princess,TV,24,Bones,PG-13 - Teens 13 or older,1861.0,1637
168,s.cry.ed,7.38,"Action, Sci-Fi, Adventure, Super Power, Drama",s-CRY-ed,TV,26,Sunrise,PG-13 - Teens 13 or older,1969.0,1787
169,shingetsutan tsukihime,6.91,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",Lunar Legend Tsukihime,TV,12,J.C.Staff,R - 17+ (violence & profanity),3970.0,1086
170,slam dunk,8.53,"Comedy, Drama, School, Shounen, Sports",Slam Dunk,TV,101,Toei Animation,PG-13 - Teens 13 or older,92.0,728
171,strange dawn,6.35,"Adventure, Drama, Fantasy",Unknown,TV,13,Hal Film Maker,PG - Children,6634.0,7014
173,tactics,7.23,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen",Unknown,TV,25,Studio Deen,PG-13 - Teens 13 or older,2668.0,2670
174,tenjou tenge,6.93,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen",Tenjho Tenge,TV,24,Madhouse,R - 17+ (violence & profanity),3911.0,934
175,tokyo underground,6.63,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",Tokyo Underground,TV,26,Studio Pierrot,PG-13 - Teens 13 or older,5230.0,3254
176,triangle heart: sweet songs forever,6.19,"Adventure, Romance",Unknown,OVA,4,Seven Arcs,PG-13 - Teens 13 or older,7381.0,5991
177,tsubasa chronicle,7.55,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen",Tsubasa RESERVoir CHRoNiCLE,TV,26,Bee Train,PG-13 - Teens 13 or older,1437.0,759
178,ultra maniac,7.18,"Comedy, Magic, Romance, School, Shoujo",Ultramaniac - Magical Girl,TV,26,Production Reed,G - All Ages,2871.0,3103
179,ultra maniac ova,6.69,"Comedy, Magic, Romance, School",Unknown,OVA,1,Production Reed,G - All Ages,4978.0,6509
180,vandread,7.21,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",Vandread,TV,13,Gonzo,PG-13 - Teens 13 or older,2723.0,1771
181,vandread: the second stage,7.42,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",Unknown,TV,13,Gonzo,PG-13 - Teens 13 or older,1850.0,2326
182,tenkuu no escaflowne,7.7,"Adventure, Psychological, Romance, Fantasy, Mecha",The Vision of Escaflowne,TV,26,Sunrise,PG-13 - Teens 13 or older,1037.0,1157
183,whistle!,7.39,"School, Shounen, Sports",Unknown,TV,39,Studio Comet,G - All Ages,1939.0,4545
184,xenosaga the animation,6.37,"Action, Mecha, Sci-Fi, Shounen, Space",Unknown,TV,12,Toei Animation,PG-13 - Teens 13 or older,6577.0,3838
